2025-08-05 12:49:50 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:49:50 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:49:50 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:50:40 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:50:40 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:50:40 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:50:40 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:50:40 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:52:55 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:52:55 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:52:55 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:52:55 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:52:55 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
