2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\check_os_imports.py:93
2025-08-05 11:50:18 | INFO     | SMART.DEBUG.__MAIN__      | [SUCCESS] scripts\check_os_imports.py: Protocolo cumplido
2025-08-05 11:50:18 | DEBUG    | SMART.DEBUG.__MAIN__      | [SYMBOL] Validando: scripts\corrector_log_central.py
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\corrector_log_central.py:28
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Import duplicado de enviar_senal_log en scripts\corrector_log_central.py:272
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\corrector_log_central.py:272
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\corrector_log_central.py:318
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\corrector_log_central.py:321
2025-08-05 11:50:18 | INFO     | SMART.DEBUG.__MAIN__      | [SUCCESS] scripts\corrector_log_central.py: Protocolo cumplido
2025-08-05 11:50:18 | DEBUG    | SMART.DEBUG.__MAIN__      | [SYMBOL] Validando: scripts\diagnosticar_estrategia.py
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\diagnosticar_estrategia.py:23
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\diagnosticar_estrategia.py:64
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\diagnosticar_estrategia.py:109
2025-08-05 11:50:18 | ERROR    | SMART.DEBUG.__MAIN__      | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\diagnosticar_estrategia.py:143
