2025-08-05 11:45:09 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Import duplicado de enviar_senal_log en core\limit_order_manager.py:20
2025-08-05 11:45:09 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\limit_order_manager.py:20
2025-08-05 11:45:09 | INFO     | SMART.TRADING.__MAIN__    | [SUCCESS] core\limit_order_manager.py: Protocolo cumplido
2025-08-05 11:45:09 | DEBUG    | SMART.TRADING.__MAIN__    | [SYMBOL] Validando: core\smart_trading_logger.py
2025-08-05 11:45:09 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\smart_trading_logger.py:15
2025-08-05 11:45:09 | DEBUG    | SMART.TRADING.__MAIN__    | [SYMBOL] Validando: core\trading.py
2025-08-05 11:45:09 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\trading.py:29
2025-08-05 11:45:09 | INFO     | SMART.TRADING.__MAIN__    | [SUCCESS] core\trading.py: Protocolo cumplido
2025-08-05 11:45:10 | DEBUG    | SMART.TRADING.__MAIN__    | [SYMBOL] Validando: sistema\trading_schedule.py
2025-08-05 11:45:11 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en sistema\trading_schedule.py:28
2025-08-05 11:45:11 | INFO     | SMART.TRADING.__MAIN__    | [SUCCESS] sistema\trading_schedule.py: Protocolo cumplido
2025-08-05 11:45:11 | INFO     | SMART.TRADING.__MAIN__    | [MAINTENANCE] Corrigiendo import duplicado en core\limit_order_manager.py
2025-08-05 11:46:08 | DEBUG    | SMART.TRADING.__MAIN__    | [MAINTENANCE] Procesando: core\limit_order_manager.py
2025-08-05 11:46:08 | WARNING  | SMART.TRADING.__MAIN__    | [SYMBOL] core\limit_order_manager.py: 2 imports duplicados
2025-08-05 11:46:08 | DEBUG    | SMART.TRADING.__MAIN__    | ℹ[SYMBOL] core\limit_order_manager.py: Sin cambios necesarios
2025-08-05 11:46:08 | DEBUG    | SMART.TRADING.__MAIN__    | [MAINTENANCE] Procesando: core\smart_trading_logger.py
2025-08-05 11:46:08 | DEBUG    | SMART.TRADING.__MAIN__    | ℹ[SYMBOL] core\smart_trading_logger.py: Sin cambios necesarios
2025-08-05 11:46:08 | DEBUG    | SMART.TRADING.__MAIN__    | [MAINTENANCE] Procesando: core\trading.py
2025-08-05 11:46:08 | DEBUG    | SMART.TRADING.__MAIN__    | ℹ[SYMBOL] core\trading.py: Sin cambios necesarios
2025-08-05 11:46:09 | DEBUG    | SMART.TRADING.__MAIN__    | [MAINTENANCE] Procesando: sistema\trading_schedule.py
2025-08-05 11:46:09 | DEBUG    | SMART.TRADING.__MAIN__    | ℹ[SYMBOL] sistema\trading_schedule.py: Sin cambios necesarios
2025-08-05 11:47:31 | DEBUG    | SMART.TRADING.__MAIN__    | [SYMBOL] Validando: core\limit_order_manager.py
2025-08-05 11:47:31 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\limit_order_manager.py:12
2025-08-05 11:47:31 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Import duplicado de enviar_senal_log en core\limit_order_manager.py:20
2025-08-05 11:47:31 | ERROR    | SMART.TRADING.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\limit_order_manager.py:20
